##2.0bar CO2, aquaplanet
#Longitude 90°W, Latitude 45°N
#mmw: 44.01 g/mol
#  Alt[m]       Press[Pa]     Temp[K]      Q[kg/kg]         liqMMR         iceMMR          REL[um]         REI[um]
  57        201006.8        321.1        2.11E-02        7.50E-06        0.00E+00        1.40E+01        2.46E+02      
  227        196548.0        322.3        2.02E-02        3.36E-06        0.00E+00        1.40E+01        2.46E+02      
  555        188255.1        323.4        1.81E-02        1.25E-06        0.00E+00        1.40E+01        2.46E+02      
  1086        175586.8        323.1        1.70E-02        2.87E-07        0.00E+00        1.40E+01        2.46E+02      
  1818        159477.9        321.5        1.64E-02        3.74E-07        0.00E+00        1.40E+01        2.46E+02      
  2744        141048.4        318.4        1.59E-02        4.21E-07        0.00E+00        1.40E+01        2.46E+02      
  3854        121531.0        314.0        1.46E-02        2.10E-06        0.00E+00        1.40E+01        2.46E+02      
  5050        103271.1        308.7        1.22E-02        3.90E-06        0.00E+00        1.40E+01        2.46E+02      
  6225        87750.0        302.9        9.43E-03        3.71E-06        4.78E-38        1.40E+01        2.46E+02      
  7378        74556.7        296.7        7.24E-03        6.20E-06        1.12E-34        1.40E+01        2.46E+02      
  8506        63342.2        290.1        5.60E-03        7.39E-06        2.96E-31        1.40E+01        2.46E+02      
  9610        53809.8        283.3        4.41E-03        8.16E-06        2.55E-28        1.40E+01        2.45E+02      
  10688        45707.0        276.5        3.45E-03        1.28E-05        1.39E-17        1.40E+01        2.36E+02      
  11741        38819.5        270.0        2.59E-03        2.03E-05        3.22E-08        1.40E+01        2.09E+02      
  12770        32965.0        263.7        1.91E-03        2.48E-05        4.14E-07        1.40E+01        1.70E+02      
  13777        27988.6        257.6        1.36E-03        2.06E-05        1.34E-06        1.40E+01        1.31E+02      
  14761        23758.6        251.7        9.40E-04        1.41E-05        2.49E-06        1.40E+01        9.99E+01      
  15725        20163.1        246.0        6.44E-04        8.54E-06        3.22E-06        1.40E+01        7.58E+01      
  16654        17150.4        240.9        4.33E-04        4.34E-06        3.56E-06        1.40E+01        5.93E+01      
  17570        14574.9        236.4        2.95E-04        1.48E-06        3.13E-06        1.40E+01        4.93E+01      
  18507        12304.1        232.5        1.97E-04        4.55E-07        2.19E-06        1.40E+01        4.39E+01      
  19457        10335.5        229.4        1.36E-04        4.39E-09        1.12E-06        1.40E+01        4.09E+01      
  20422        8638.8        226.9        1.02E-04        2.41E-19        5.83E-07        1.40E+01        3.89E+01      
  21404        7184.7        224.8        8.47E-05        1.30E-21        2.83E-07        1.40E+01        3.74E+01      
  22404        5945.6        222.9        7.31E-05        3.05E-25        1.80E-07        1.40E+01        3.61E+01      
  23420        4895.8        220.8        6.58E-05        1.03E-36        8.90E-08        1.40E+01        3.49E+01      
  24453        4011.4        218.5        5.97E-05        5.10E-34        6.72E-08        1.40E+01        3.35E+01      
  25500        3270.4        215.9        5.41E-05        0.00E+00        3.58E-08        1.40E+01        3.19E+01      
  26558        2653.0        213.0        4.93E-05        0.00E+00        2.90E-08        1.40E+01        3.01E+01      
  27626        2141.4        209.7        4.46E-05        0.00E+00        5.31E-08        1.40E+01        2.76E+01      
  28701        1719.9        206.1        3.86E-05        0.00E+00        1.08E-07        1.40E+01        2.43E+01      
  29781        1374.6        202.3        3.14E-05        0.00E+00        2.19E-07        1.40E+01        2.04E+01      
  30865        1093.1        198.6        2.50E-05        0.00E+00        3.64E-07        1.40E+01        1.68E+01      
  31953        864.9        195.3        1.98E-05        0.00E+00        4.28E-07        1.40E+01        1.40E+01      
  33047        681.0        192.4        1.56E-05        0.00E+00        4.40E-07        1.40E+01        1.20E+01      
  34146        533.5        189.5        1.20E-05        0.00E+00        4.07E-07        1.40E+01        1.03E+01      
  35251        415.9        186.4        8.77E-06        0.00E+00        3.91E-07        1.40E+01        8.79E+00      
  36359        322.6        183.2        6.01E-06        0.00E+00        3.71E-07        1.40E+01        7.55E+00      
  37468        249.0        179.9        4.06E-06        0.00E+00        3.19E-07        1.40E+01        6.78E+00      
  38580        191.2        177.0        2.86E-06        0.00E+00        2.45E-07        1.40E+01        6.44E+00      
  39696        146.1        174.4        2.26E-06        0.00E+00        1.86E-07        1.40E+01        6.36E+00      
  40831        110.7        172.3        1.94E-06        0.00E+00        1.38E-07        1.40E+01        6.35E+00      
  42042        82.0        170.5        1.79E-06        0.00E+00        1.10E-07        1.40E+01        6.34E+00      
  43402        58.4        168.9        1.73E-06        0.00E+00        1.04E-07        1.40E+01        6.32E+00      
  44943        39.6        168.0        1.73E-06        0.00E+00        1.02E-07        1.40E+01        6.37E+00      
  46667        25.7        168.3        1.79E-06        0.00E+00        1.07E-07        1.40E+01        6.47E+00      
  48552        16.0        169.6        2.00E-06        0.00E+00        9.76E-08        1.40E+01        6.66E+00      
  50539         9.7        171.2        2.33E-06        0.00E+00        6.03E-08        1.40E+01        6.84E+00      
  52558         5.9        171.3        2.64E-06        0.00E+00        5.30E-08        1.40E+01        6.93E+00      
  54579         3.6        170.1        2.77E-06        0.00E+00        1.02E-07        1.40E+01        6.87E+00      
  56595         2.2        168.9        3.11E-06        0.00E+00        1.37E-07        1.40E+01        6.89E+00      
  58600         1.3        171.2        3.63E-06        0.00E+00        6.36E-08        1.40E+01        7.45E+00      
